sample_id,status,converged,transfer_ready,output_ready,note
000581,valid,1,1,1,
000582,valid,1,1,1,
000583,valid,1,1,1,
000584,fail,0,0,0,stable fail
000585,valid,1,1,1,
000586,valid,1,1,1,
000587,valid,1,1,1,
000588,valid,1,1,1,
000589,valid,1,1,1,
000590,valid,1,1,1,
000591,valid,1,1,1,
000592,valid,1,1,1,
000593,valid,1,1,1,
000594,valid,1,1,1,
000595,valid,1,1,1,
000596,valid,1,1,1,
000597,valid,1,1,1,
000598,valid,1,1,1,
000599,valid,1,1,1,
000600,valid,1,1,1,
000601,valid,1,1,1,
000602,valid,1,1,1,
000603,fail,0,0,0,stable fail
000604,valid,1,1,1,
000605,valid,1,1,1,
000606,valid,1,1,1,
000607,valid,1,1,1,
000608,fail,0,0,0,stable fail
000609,valid,1,1,1,
000610,valid,1,1,1,
000611,fail,0,0,0,stable fail
000612,valid,1,1,1,
000613,valid,1,1,1,
000614,valid,1,1,1,
000615,valid,1,1,1,
000616,valid,1,1,1,
000617,fail,0,0,0,stable fail
000618,valid,1,1,1,
000619,valid,1,1,1,
000620,valid,1,1,1,
000621,valid,1,1,1,
000622,valid,1,1,1,
000623,valid,1,1,1,
000624,valid,1,1,1,
000625,valid,1,1,1,
000626,valid,1,1,1,
000627,valid,1,1,1,
000628,valid,1,1,1,
000629,valid,1,1,1,
000630,valid,1,1,1,
000631,valid,1,1,1,
000632,valid,1,1,1,
000633,valid,1,1,1,
000634,valid,1,1,1,
000635,valid,1,1,1,
000636,valid,1,1,1,
000637,valid,1,1,1,
000638,valid,1,1,1,
000639,valid,1,1,1,
000640,valid,1,1,1,
000641,valid,1,1,1,
000642,valid,1,1,1,
000643,valid,1,1,1,
000644,valid,1,1,1,
000645,valid,1,1,1,
000646,valid,1,1,1,
000647,valid,1,1,1,
000648,valid,1,1,1,
000649,valid,1,1,1,
000650,valid,1,1,1,
000651,valid,1,1,1,
000652,fail,0,0,0,stable fail
000653,valid,1,1,1,
000654,valid,1,1,1,
000655,valid,1,1,1,
000656,valid,1,1,1,
000657,valid,1,1,1,
000658,valid,1,1,1,
000659,valid,1,1,1,
000660,valid,1,1,1,
000661,valid,1,1,1,
000662,valid,1,1,1,
000663,valid,1,1,1,
000664,valid,1,1,1,
000665,valid,1,1,1,
000666,valid,1,1,1,
000667,valid,1,1,1,
000668,valid,1,1,1,
000669,valid,1,1,1,
000670,valid,1,1,1,
000671,valid,1,1,1,
000672,valid,1,1,1,
000673,valid,1,1,1,
000674,valid,1,1,1,
000675,valid,1,1,1,
000676,valid,1,1,1,
000677,valid,1,1,1,
000678,valid,1,1,1,
000679,valid,1,1,1,
000680,valid,1,1,1,
000681,valid,1,1,1,
000682,valid,1,1,1,
000683,valid,1,1,1,
000684,valid,1,1,1,
000685,valid,1,1,1,
000686,valid,1,1,1,
000687,valid,1,1,1,
000688,valid,1,1,1,
000689,valid,1,1,1,
000690,valid,1,1,1,
000691,valid,1,1,1,
000692,valid,1,1,1,
000693,valid,1,1,1,
000694,valid,1,1,1,
000695,valid,1,1,1,
000696,fail,0,0,0,stable fail
000697,valid,1,1,1,
000698,valid,1,1,1,
000699,valid,1,1,1,
000700,valid,1,1,1,
000701,valid,1,1,1,
000702,valid,1,1,1,
000703,valid,1,1,1,
000704,valid,1,1,1,
000705,valid,1,1,1,
000706,valid,1,1,1,
000707,valid,1,1,1,
000708,valid,1,1,1,
000709,valid,1,1,1,
000710,valid,1,1,1,
000711,valid,1,1,1,
000712,fail,0,0,0,stable fail
000713,valid,1,1,1,
000714,valid,1,1,1,
000715,valid,1,1,1,
000716,valid,1,1,1,
000717,valid,1,1,1,
000718,valid,1,1,1,
000719,valid,1,1,1,
000720,fail,0,0,0,stable fail
000721,valid,1,1,1,
000722,valid,1,1,1,
000723,valid,1,1,1,
000724,fail,0,0,0,stable fail
000725,valid,1,1,1,
000726,valid,1,1,1,
000727,valid,1,1,1,
000728,valid,1,1,1,
000729,valid,1,1,1,
000730,valid,1,1,1,
000731,valid,1,1,1,
000732,valid,1,1,1,
000733,fail,0,0,0,stable fail
000734,valid,1,1,1,
000735,valid,1,1,1,
000736,valid,1,1,1,
000737,valid,1,1,1,
000738,fail,0,0,0,stable fail
000739,valid,1,1,1,
000740,valid,1,1,1,
000741,valid,1,1,1,
000742,fail,0,0,0,stable fail
000743,valid,1,1,1,
000744,valid,1,1,1,
000745,valid,1,1,1,
000746,valid,1,1,1,
000747,valid,1,1,1,
000748,valid,1,1,1,
